id;rr_july;rr_jan;tam_jan;tam_july;population.human;distance.freshwater;hoh_diff;Vind50m;north;ppyg
1;94.3;170.1;2.77631;13.86747;41;1291;260;6.41797;6932906.000000;false
2;94.3;170.1;2.77631;13.86747;41;1377;260;6.41797;6933129.000000;false
3;156.2;323.3;-2.17273;12.92469;0;40;1399;4.17879;6833755.000000;true
4;129.4;264.3;-1.90649;14.12903;0;2;1358;3.69000;6833484.000000;true
5;138.5;277.0;-0.69880;14.77962;283;3;680;3.49827;6814322.000000;false
6;149.1;300.0;-0.74731;14.24763;11;38;680;3.49827;6814239.000000;true
7;180.2;352.4;0.15776;14.01855;7;5354;720;4.06806;6819923.000000;false
8;165.5;316.8;0.58530;14.77288;5;133;720;4.62390;6822595.000000;false
9;208.8;372.6;1.77810;13.60486;8;3;765;5.99921;6825633.000000;false
10;97.9;68.5;-8.10954;11.47592;0;96;924;5.84328;6910133.000000;false
11;101.6;70.1;-8.25355;10.98382;0;66;540;5.05153;6904425.000000;false
12;94.5;63.4;-8.85988;11.28227;0;677;560;5.27387;6896742.000000;false
13;87.8;63.1;-7.47827;11.02614;0;188;722;5.22616;6890679.000000;false
14;56.2;72.6;-0.53833;15.70937;25;4;1120;2.98539;6775364.000000;true
15;72.2;83.3;-2.32719;13.87078;0;74;1503;4.06389;6769749.000000;false
16;87.8;99.3;-3.25506;12.52863;0;72;1320;4.29041;6769051.000000;false
17;75.3;91.3;-3.70735;13.33368;11;50;1197;3.68568;6772145.000000;true
18;79.3;86.1;-4.31760;13.20145;5;6;1197;4.34626;6771371.000000;false
19;110.5;119.9;-5.38705;11.01315;0;184;949;5.11415;6768479.000000;false
20;126.9;136.2;-7.25533;10.33451;0;77;949;5.80994;6767457.000000;false
21;137.1;136.7;-9.96851;11.92825;0;3;711;5.36605;6748325.000000;false
22;121.8;113.9;-9.57370;13.28542;215;1;1055;4.71769;6749324.000000;false
23;116.7;93.5;-6.71140;13.02861;3;4;427;4.36005;6742374.000000;false
24;78.4;38.1;-6.76300;15.64048;12;2;785;3.78501;6725588.000000;false
25;97.7;49.8;-7.53668;16.11073;34;5;838;4.15202;6705575.000000;false
26;99.6;68.2;-6.55798;16.52942;16;3;768;3.45992;6692817.000000;true
27;97.0;65.1;-6.17049;16.51066;0;4;641;4.53164;6687590.000000;false
28;122.4;249.2;1.88409;13.49374;7;186;680;7.36297;6910284.000000;false
29;148.4;305.5;1.80769;12.07728;4;518;654;7.39908;6913271.000000;false
30;124.0;258.5;2.22456;13.25286;36;1995;582;6.66424;6916954.000000;false
31;110.1;231.5;1.82769;13.99849;0;227;579;6.20206;6914975.000000;false
32;131.6;276.2;1.45542;12.85546;0;26;579;6.33275;6912608.000000;false
33;113.7;238.9;2.08854;13.79642;68;4;582;6.12526;6916262.000000;false
34;125.0;265.0;2.06482;13.14847;307;13;582;6.62021;6918228.000000;false
35;102.4;104.7;-2.66565;14.51823;79;30;435;4.87342;7008734.000000;false
36;112.1;117.7;-2.73589;14.05939;0;37;435;5.12873;7010256.000000;false
37;116.2;128.3;-2.70322;13.83572;40;6;291;4.96723;7012659.000000;false
38;111.7;121.8;-2.59362;14.10578;22;301;291;4.92770;7015025.000000;false
39;116.4;125.3;-2.70897;13.88760;30;2;291;5.14230;7013945.000000;false
40;97.8;77.6;-3.91926;13.59915;8;1;520;4.78366;6967548.000000;false
42;86.9;88.2;-3.35922;14.25646;12;1;596;4.29776;6986970.000000;false
43;86.3;92.8;-3.03189;14.23082;39;2;640;5.04275;6991395.000000;false
44;86.3;92.8;-3.03189;14.23082;39;57;640;5.04275;6991339.000000;false
45;141.8;347.8;-1.59552;11.94946;3;3;635;5.55985;6542731.000000;true
46;183.0;416.3;-2.41867;11.94296;0;3;523;6.51090;6532327.000000;false
47;223.9;473.3;-1.65311;12.77649;6;2;869;6.92002;6522023.000000;false
48;192.2;353.4;-0.42200;13.80813;2;3;581;7.44762;6510374.000000;true
49;167.3;304.8;0.01900;14.53432;8;4;450;6.67836;6507278.000000;true
50;162.4;238.4;1.19540;13.51030;8;3;258;8.30251;6504059.000000;true
51;121.3;176.0;2.05265;14.77829;26;8;192;7.75793;6494289.000000;true
52;82.0;44.4;-7.33391;13.22142;5;4;861;4.93044;6890797.000000;false
53;85.4;45.2;-8.64846;12.58763;8;5;724;4.98282;6926096.000000;false
54;91.6;54.5;-8.95063;12.49784;16;6;277;4.38038;6937310.000000;false
55;101.2;66.3;-9.00333;12.14528;11;1;272;5.03032;6942081.000000;false
56;106.9;75.1;-9.02935;12.00170;8;4;206;5.16555;6943425.000000;false
57;112.2;86.2;-7.22489;11.60582;2;4;307;5.02670;6952860.000000;false
58;112.2;86.2;-7.22489;11.60582;2;86;307;5.02670;6952820.000000;false
59;106.4;168.6;-3.49667;14.61092;4;3;913;4.06923;6563008.000000;true
60;119.8;197.0;-2.52699;14.37324;2;1;660;3.42110;6538139.000000;true
61;109.8;159.4;-2.33559;16.01325;0;2;581;4.43161;6517855.000000;true
62;115.7;172.7;-2.03060;16.06145;251;1;360;4.06305;6495896.000000;true
63;120.5;192.3;-1.43067;15.68369;1;1;276;4.79778;6480964.000000;true
64;118.4;194.7;-0.53652;16.42401;110;4;253;5.34081;6460537.000000;true
65;118.5;200.7;0.08653;15.75675;5;2;267;6.50041;6449644.000000;true
66;159.0;319.4;0.31973;15.11256;33;5;492;5.75015;6484233.000000;true
67;135.8;266.0;0.38266;15.44902;0;6;404;5.26179;6479755.000000;false
68;183.5;344.6;0.47616;13.89161;16;2;427;6.41142;6484224.000000;true
69;150.3;239.1;1.54633;14.61330;15;2;181;6.76086;6490594.000000;true
70;80.0;69.2;-4.57862;16.87371;21;4;419;4.49721;6591449.000000;true
71;82.7;67.3;-3.54385;17.15900;40;5;405;4.85064;6582224.000000;true
72;98.3;76.0;-4.19297;15.69443;24;2;548;3.40462;6617741.000000;false
73;99.1;75.3;-5.48657;15.45952;0;4;837;4.51443;6627791.000000;false
74;143.4;148.3;-6.10201;11.70771;0;5;340;5.10164;6632372.000000;false
75;140.1;147.6;-6.75675;11.84295;0;145;340;5.15795;6632392.000000;false
76;133.1;150.6;-7.58982;11.82761;0;3;531;5.88897;6625336.000000;false
77;96.1;79.6;-1.64806;15.05490;56;1;240;5.37360;7036511.000000;false
78;97.8;80.5;-1.68312;15.05423;230;1;240;5.52019;7036731.000000;false
